name,lat,lon,description,picture
天坛,39.882,116.4071,1961年，国务院公布天坛为“全国重点文物保护单位”。1998年被联合国教科文组织确认为“世界文化遗产”。2007年5月8日，天坛公园经国家旅游局正式批准为国家5A级旅游景区。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=57e89afca044ad343ab28fd5b1cb6791/a5c27d1ed21b0ef4dd1ea04fdcc451da81cb3e28.jpg
云冈石窟,40.1193,113.1443,中国规模最大的古代石窟群之一，与敦煌莫高窟、洛阳龙门石窟和天水麦积山石窟并称为中国四大石窟艺术宝库。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=25109bc7c1cec3fd9f33af27b7e1bf5a/72f082025aafa40fd7f9a8d6a964034f78f019f9.jpg
莫高窟,40.0487,94.8157,世界上现存规模最大、内容最丰富的佛教艺术地。,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=92cf6ee4374e251ff6faecaac6efa272/8694a4c27d1ed21bdd0fe23baa6eddc450da3f2e.jpg
秦始皇帝陵,34.3847,109.2648,世界上规模最大、结构最奇特、内涵最丰富的帝王陵墓之一。充分表现了2000多年前中国古代汉族劳动人民的艺术才能，是中华民族的骄傲和宝贵财富。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=f1a6a0dc50b5c9ea76fe0bb1b450dd65/d1a20cf431adcbefb334e8d1a7af2edda2cc9fe1.jpg
周口店遗址,39.6922,115.9334,周口店遗址被中华人民共和国国务院公布为第一批全国重点文物保护单位,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/crop%3D5%2C0%2C916%2C605%3Bc0%3Dbaike116%2C5%2C5%2C116%2C38/sign=96b23ab99725bc313f125bd863eaa181/48540923dd54564e291f0b4ebdde9c82d1584f4b.jpg
承德避暑山庄,41.0015,117.9412,承德避暑山庄，是中国著名的旅游景点，也是世界文化遗产，国家AAAAA级旅游景区，全国重点文物保护单位，中国四大名园之一。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=487353fd2b9759ee5e5d6899d3922873/1b4c510fd9f9d72a20d027edd92a2834359bbb8d.jpg
曲阜孔庙,35.601,116.9964,曲阜孔庙（Temple of Confucius， Qufu），又称“阙里至圣庙”，位于曲阜市中心鼓楼西侧300米处，是祭祀中国古代著名思想家和教育家孔子的祠庙。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=902a8463bb3533fae1bb9b7cc9ba967a/b812c8fcc3cec3fd75f1aa18dc88d43f8694278b.jpg
平遥古城,37.2095,112.1557,平遥古城位于山西省中部，始建于周宣王时期，明洪武三年（1370年）扩建，距今已有2700多年的历史。还较为完好地保留着明清时期县城的基本风貌，是中国汉民族地区现存最为完整的古城。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=371069f910178a82da3177f2976a18e8/b17eca8065380cd7241531d8af44ad34598281f8.jpg
丽江古城,26.8765,100.242,丽江古城位于云南省丽江市古城区，又名大研镇，坐落在丽江坝中部，始建于宋末元初（公元13世纪后期），地处云贵高原，面积为7.279平方公里。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=79b1359e73cb0a46912f836b0a0a9d41/3bf33a87e950352ab31ef26c5b43fbf2b2118b53.jpg
南阳武侯祠,32.9834,112.5138,南阳卧龙岗武侯祠1963年被河南省人民政府列为首批河南省重点文物保护单位、1996年被国务院列为全国重点文物保护单位、2007年荣膺国家AAAA级旅游景区。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=6dfba55fe4cd7b89fd6132d16e4d29c2/6a600c338744ebf8a3b0c1aadbf9d72a6159a766.jpg
