name,lat,lon,description,picture
北岳恒山,39.6676,113.7311,恒山横亘于山西北部高原与冀中平原之间，因其险峻的自然山势和地理位置的特点，成为兵家必争之地。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=75d962bcdb39b60059c307e588395e4f/71cf3bc79f3df8dcb117eecec311728b47102842.jpg
桐柏山,32.421,113.2903,桐柏山区域不仅有独特的淮源文化，更兼具盘古文化、佛道文化、地质文化和苏区文化。,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=dd5c51f17cd98d1062d904634056d36b/34fae6cd7b899e51fc32fd1942a7d933c8950d7b.jpg
云台山,35.4391,113.3216,2004年2月13日，云台山风景区被联合国教科文组织评选为全球首批世界地质公园。2007年5月8日，云台山风景区被批准为国家AAAAA级旅游景区?。2014年1月，云台山风景区被列入资源型城市重点旅游区自然风光旅游项目,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/crop%3D0%2C13%2C509%2C336%3Bc0%3Dbaike80%2C5%2C5%2C80%2C26/sign=f55d71f4bb3533fae1f9c96e95e3d12e/3ac79f3df8dcd100562400db788b4710b8122f94.jpg
鸡公山,31.8183,114.0834,鸡公山，位于河南省信阳市境内，桐柏山以东，大别山最西端，是中国四大避暑胜地之一，也是新中国第一批对外开放的全国八大景区之一，第一批列入全国44个国家级重点风景名胜区之一,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=78d4ac52b6003af359b7d4325443ad39/bba1cd11728b4710f715b197c3cec3fdfc0323b6.jpg
青城山,30.9112,103.575,青城山（Mount Qingcheng），世界文化遗产、全国重点文物保护单位、国家重点风景名胜区、国家AAAAA级旅游景区、全球道教天师道圣地，中国四大道教名山之一，五大仙山之一，中国道教发祥地之一，成都十景之一。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=96766cadd6b44aed4d43b6b6d275ec64/caef76094b36acaf3eb3f91b70d98d1000e99c81.jpg
峨嵋山,29.5743,103.3563,峨眉山-乐山大佛是世界文化与自然双重遗产，峨眉山古建筑群为全国重点文物保护单位，以峨眉山为主体的峨眉山景区为国家重点风景名胜区??、国家AAAAA级旅游景区,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=20ec8a588526cffc7d27b7e0d86821f5/b3119313b07eca80f291c526962397dda044835f.jpg
崂山,36.1907,120.6257,崂山，东高而悬崖傍海，西缓而丘陵起伏，山区面积446平方公里。山脉以崂顶为中心，向四方延伸，尤以西北、西南两个方向延伸较长，形成了巨峰、三标山、石门山和午山四条支脉,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=cbf09a2d2a9759ee5e5d6899d3922873/2cf5e0fe9925bc319f6affb852df8db1cb1370df.jpg
棋盘山,41.9421,123.6498,棋盘山位于沈阳市东北部，东邻抚顺，西至农业高新区，南至浑河，北接铁岭，棋盘山属长白山系哈达岭余脉，处于辽东低山丘陵地带向西延伸地段，距沈阳市中心约32千米。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=120c874bdf39b60059c307e588395e4f/71cf3bc79f3df8dcd6c20b39c711728b4610289e.jpg
荔波樟江风景名胜区,25.2613,107.7558,荔波樟江风景名胜区位于贵州省黔南布依族苗族自治州荔波县境内，总面积118.8平方公里。由大、小七孔景区、水春河景区和樟江风光带组成。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=a7cc8eafd32a283457ab3e593adca28f/adaf2edda3cc7cd94a85aa6b3e01213fb90e91dc.jpg
杭州西湖,30.2289,120.1279,西湖南、西、北三面环山，湖中白堤、苏堤、杨公堤、赵公堤将湖面分割成若干水面。西湖的湖体轮廓呈近椭圆形，湖底部较为平坦。湖泊天然地表水源是金沙涧、龙泓涧、赤山涧（慧因涧）、长桥溪四条溪流。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=158c273193dda144ce0464e0d3debbc7/8694a4c27d1ed21b17afadc7a96eddc451da3fa9.jpg
桂林山水,25.2563,110.2917,桂林山水是对桂林旅游资源的总称。国家AAAAA级旅游景区，中国十大风景名胜之一，桂林山水是中国山水的代表，典型的喀斯特地形构成别具一格的桂林山水，桂林山水所指范围很广，项目繁多。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=477a19b4259759ee5e5d6899d3922873/2cf5e0fe9925bc3113e07c215ddf8db1ca1370cd.jpg
苏州园林,31.3302,120.6355,苏州古典园林，简称苏州园林，是世界文化遗产、国家AAAAA级旅游景区，中国十大风景名胜之一。苏州古典园林素有“园林之城”之称，享有“江南园林甲天下，苏州园林甲江南”之美誉，誉为“咫尺之内再造乾坤”。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=d39a6f630e087bf469e15fbb93ba3c49/08f790529822720ec2fcb2d277cb0a46f21fabec.jpg
